id;username;email;password;name;first_name;phone;formation;niveau;status
1;mortally until monthly;"%@rPW.'y";secret like;gallivant superb;Jannie;405-848-7978 x8113;joyously boohoo;BAC;true
2;phew indeed;"W}`@C.H=";calmly yum relieve;generously if;Willow;1-712-219-7195 x761;bah husk;BAC;true
3;verbally;"!@92.=<T.2";times rural magnificent;naughty;Leo;1-767-224-5435 x89790;meanwhile edge;BAC;false
4;yesterday;"IcBn@G=<-up.!2O$%!";gradient fooey naturally;for academics reel;Brando;1-340-664-6719 x635;whoa weighty inwardly;BAC;true
5;asX;"XJUrU@|rNJ.57*W|k";closelyX;sugary interestingly;Madelynn;1-479-945-3998 x1762;whose whopping skyline;BAC_PLUS_3;true
6;and printer;"N@i72`.&Fi";hubris larva hotfoot;please;Kayli;451-786-8499;yuck bah;BAC_PLUS_2;false
7;energetically knowledgeable;"p@'.%g*<F";nor impact;until anxiously;Elyse;(413) 919-3135 x18583;ack;BAC_PLUS_2;false
8;crossly;"U<4S@`;tg.+.*-";sedately;times declaration;Ellen;(652) 240-2861 x3851;weighty;BAC_PLUS_3;false
9;roughly;"u0P=A@Ol\.+r9";wee harmful majestically;and during majestically;Luciano;1-640-984-1084;across beyond up;BAC_PLUS_3;false
10;mysteriously writhing like;"xqWgn,@wjk.Gb";aforeXXX;supposing if quip;Josue;1-258-306-9951 x8860;readjust;BAC;true
