id;first_name;last_name;birth_date;nationality;birth_place;cni;address;email;phone;education_level;school
1;Alivia;Stanton;2024-10-29;language ick;till yearly unlike;egg evenly;yahoo taut;"xS@,<b.L*2";"503604507";BAC;jump operating
2;Raquel;Wiza-Barrows;2024-10-29;eek;phooey helpfully stool;furthermore on readily;bend geez wrong;"+//O8v@h.q{";"335786615";BAC_PLUS_3;bookcase
3;Vincent;Marvin;2024-10-29;under intrigue pink;shrill unless;though uniform;regarding criminal arcade;"8K[@_t6,\.COg";"336458757";BAC_PLUS_2;whereas than stage
4;Margaret;Schmidt;2024-10-28;against or;proliferate whimsical moisten;daintily for;polished marvelous onto;"AX$-@-[.!F+gtl";"844451646";BAC_PLUS_4;whereas badly
5;Marina;Aufderhar;2024-10-29;oof;yawningly;genuine;above limping;"RJ6@Zrst7.[";"790108075";BAC_PLUS_5;scrap majority
6;Madonna;Kris;2024-10-28;officially over;mealy jaggedly;fork although;quaintly until;"R_YL?@P{&.B(`*f";"238969942";BAC_PLUS_4;delirious pfft as
7;Abel;Herzog;2024-10-29;pish at;flame once worth;collaborate fill sadly;drat quietly;"$N`#W@)E5&.f(j";"014306210";BAC;aching machine
8;Juston;Brakus;2024-10-28;intelligent;consequently wherever;plain;suddenly aha atrium;"8-.5Uv@M-!g.EOr!";"107694554";BAC;aw iterate
9;Nash;Upton;2024-10-29;into including;pish onto;swiftly marksman drum;snuggle incidentally;"e>C@6lp.`aF7c";"435156595";BAC_PLUS_5;mummify closely
10;Isobel;Price;2024-10-29;limply;fine gosh without;hearten deliberately consistency;crystallize mmm;"1v9@8~`&C.6Ss(";"815646119";BAC;brr er pfft
