id;payment_number;payment_date;amount;act_code;payment_phone;status;processing_date;comments
1;scorpion pepper;2024-10-29;29810.34;so;"373726851";REJETE;2024-10-28;unto scarification
2;when aboard;2024-10-29;2992.9;citizen busily;"285995218";REJETE;2024-10-28;who
3;geez mmm but;2024-10-28;11359.81;save nudge;"443701275";PAYE;2024-10-29;by
4;iterate circle huzzah;2024-10-29;30436.43;gaseous;"206794838";REJETE;2024-10-29;sentimental fully singing
5;corral given;2024-10-29;25414.09;unto cuddly;"004595481";EN_COURS;2024-10-29;lest righteously
6;huzzah finally until;2024-10-29;7068.13;switch pixellate;"928273685";REJETE;2024-10-29;outlying magnificent zowie
7;who psst;2024-10-28;8898.56;absent considering per;"833930585";REJETE;2024-10-28;aboard
8;gadzooks unless limping;2024-10-29;15235.62;accomplished lest;"788978445";EN_ATTENTE;2024-10-29;adviser ouch sailor
9;violently;2024-10-28;28429.84;throughout charming blank;"593348034";REJETE;2024-10-29;soggy till
10;young interestingly like;2024-10-29;7563.29;hassle round victorious;"938540244";REJETE;2024-10-29;quietly why never
